Overhead 10:
    WSGI w/SimpleTemplate: | 250 total, 0 failed |   8.010s overall, 0.032s each | score:   1.000 |
  webapp w/SimpleTemplate: | 250 total, 0 failed |   8.025s overall, 0.032s each | score:   1.002 |
           tipfy w/Tenjin: | 250 total, 0 failed |   8.041s overall, 0.032s each | score:   1.004 |
          bottle w/Tenjin: | 250 total, 0 failed |   8.053s overall, 0.032s each | score:   1.005 |
       web.py w/Templator: | 250 total, 0 failed |   8.059s overall, 0.032s each | score:   1.006 |
           webop w/Tenjin: | 250 total, 0 failed |   8.063s overall, 0.032s each | score:   1.007 |
        flask w/Templator: | 250 total, 0 failed |   8.087s overall, 0.032s each | score:   1.010 |
            WSGI w/Tenjin: | 250 total, 0 failed |   8.102s overall, 0.032s each | score:   1.011 |
            flask w/Jinja: | 250 total, 0 failed |   8.125s overall, 0.033s each | score:   1.014 |
          webapp w/Tenjin: | 250 total, 0 failed |   8.129s overall, 0.033s each | score:   1.015 |
      webapp2 w/Templator: | 250 total, 0 failed |   8.139s overall, 0.033s each | score:   1.016 |
           flask w/Tenjin: | 250 total, 0 failed |   8.182s overall, 0.033s each | score:   1.022 |
         webapp2 w/Django: | 250 total, 0 failed |   8.196s overall, 0.033s each | score:   1.023 |
          webapp w/Django: | 250 total, 0 failed |   8.196s overall, 0.033s each | score:   1.023 |
          web.py w/Tenjin: | 250 total, 0 failed |   8.238s overall, 0.033s each | score:   1.028 |
   tipfy w/SimpleTemplate: | 250 total, 0 failed |   8.285s overall, 0.033s each | score:   1.034 |
        tipfy w/Templator: | 250 total, 0 failed |   8.286s overall, 0.033s each | score:   1.034 |
          web.py w/Django: | 250 total, 0 failed |   8.299s overall, 0.033s each | score:   1.036 |
           web.py w/Breve: | 250 total, 0 failed |   8.329s overall, 0.033s each | score:   1.040 |
            webop w/Breve: | 250 total, 0 failed |   8.349s overall, 0.033s each | score:   1.042 |
           webapp w/Breve: | 250 total, 0 failed |   8.369s overall, 0.033s each | score:   1.045 |
          bottle w/Django: | 250 total, 0 failed |   8.373s overall, 0.033s each | score:   1.045 |
            tipfy w/Breve: | 250 total, 0 failed |   8.374s overall, 0.033s each | score:   1.045 |
